Quality	Die Qualität	Die Qualitäten
Hunter	Der Jäger	Die Jäger
Paint	Die Farbe	Die Farben
Buster	Der Zerstörer	Die Zerstörer
Cotton	Die Baumwolle	- 
Sergeant	Der Feldwebel	Die Feldwebel
Credit	Der Kredit	Die Kredite
Blow	Der Schlag	Die Schläge
Devil	Der Teufel	Die Teufel
Threat	Die Bedrohung	Die Bedrohungen
Success	Der Erfolg	Die Erfolge
Eve	Der Abend	Die Abende
Cable	Das Kabel	Die Kabel
Pan	Die Pfanne	Die Pfannen
Clerk	Der Angestellte	Die Angestellten
Title	Der Titel	Die Titel
Meter	Der Meter	Die Meter
Shame	Die Schande	- 
Needle	Die Nadel	Die Nadeln
Lung	Die Lunge	Die Lungen
Warrior	Der Krieger	Die Krieger
Circumstance	Die Umstände	- 
Studio	Das Studio	Die Studios
Panic	Die Panik	- 
Lack	Der Mangel	- 
Farmer	Der Bauer	Die Bauern
Accent	Der Akzent	Die Akzente
Bomb	Die Bombe	Die Bomben
Panel	Das Panel	Die Panels
Ability	Die Fähigkeit	Die Fähigkeiten
Fortune	Das Glück	- 
Victor	Der Sieger	Die Sieger
Feather	Die Feder	Die Federn
Grandma	Die Oma	Die Omas
Glow	Das Leuchten	Die Leuchten
Behavior	Das Verhalten	- 
Passage	Der Durchgang	Die Durchgänge
Slave	Der Sklave	Die Sklaven
Lieutenant	Der Leutnant	Die Leutnants
Barrel	Das Fass	Die Fässer
Warmth	Die Wärme	- 
Impression	Der Eindruck	Die Eindrücke
Mason	Der Maurer	Die Maurer
Bride	Die Braut	Die Bräute
Package	Das Paket	Die Pakete
Fog	Der Nebel	- 
Walking	Das Gehen	- 
Balance	Das Gleichgewicht	- 
Sock	Die Socke	Die Socken
Robot	Der Roboter	Die Roboter
Potato	Die Kartoffel	Die Kartoffeln
Item	Der Gegenstand	Die Gegenstände
Bath	Das Bad	Die Bäder
Diamond	Der Diamant	Die Diamanten
Corpse	Die Leiche	Die Leichen
Explanation	Die Erklärung	Die Erklärungen
Structure	Die Struktur	Die Strukturen
Exit	Der Ausgang	Die Ausgänge
Pad	Das Kissen	Die Kissen
Stove	Der Herd	Die Herde
Blue	Das Blau	- 
American	Der Amerikaner	Die Amerikaner
Ruby	Der Rubin	Die Rubine
Lightning	Das Blitz	Die Blitze
Pit	Die Grube	Die Gruben
Colonel	Der Oberst	Die Obersten
Dock	Der Hafen	Die Häfen
Creek	Der Bach	Die Bäche
Advice	Der Rat	Die Ratschläge
Tourist	Der Tourist	Die Touristen
Grief	Die Trauer	- 
Defense	Die Verteidigung	- 
Bite	Der Biss	Die Bisse
Museum	Das Museum	Die Museen
Favor	Der Gefallen	Die Gefallen
Supper	Das Abendessen	- 
Comfort	Der Komfort	- 
Dean	Der Dekan	- 
Value	Der Wert	Die Werte
March	Der Marsch	Die Märsche
Estate	Das Anwesen	Die Anwesen
Poet	Der Dichter	Die Dichter
Palace	Der Palast	Die Paläste
Soup	Die Suppe	Die Suppen
Nation	Die Nation	Die Nationen
Jar	Das Glas	Die Gläser
Standing	Der Stand	- 
Sack	Der Sack	Die Säcke
Demon	Der Dämon	Die Dämonen
Conference	Die Konferenz	Die Konferenzen
Juice	Der Saft	Die Säfte
Responsibility	Die Verantwortung	- 
Brush	Die Bürste	Die Bürsten
Route	Die Route	Die Routen
Cheese	Der Käse	Die Käse
Hood	Die Motorhaube	Die Motorhauben
Duck	Die Ente	Die Enten
Saint	Der Heilige	Die Heiligen
Pass	Der Pass	Die Pässe
Target	Das Ziel	Die Ziele